text,meta
"The 2002 Copa Colsanitas was a women's tennis tournament played on outdoor clay courts at the Club Campestre El Rancho in Bogotá, Colombia that was part of Tier III of the 2002 WTA Tour. It was the fifth edition of the tournament and ran from 19 February through 25 February 2002. Unseeded wild-card Fabiola Zuluaga won the singles title and earned $27,000.

Finals

Singles

 Fabiola Zuluaga defeated  Katarina Srebotnik 6–1, 6–4
 It was Zuluaga's 1st singles title of the year and the 4th of her career.

Doubles

 Virginia Ruano Pascual /  Paola Suárez defeated  Tina Križan /  Katarina Srebotnik 6–2, 6–1
","{'id': '56280322', 'title': '2002 Copa Colsanitas', 'url': 'https://en.wikipedia.org/wiki/2002%20Copa%20Colsanitas'}"
"Viktor Arsenievich Nikolaev  (6 December 1893 – 25 September 1960) was a Russian and soviet geologist and petrologist. He was a specialist on the petrology and deep crustal structure of the Tien Shan region. The so-called ""Nikolaev Line"" is a fault that separates the northern and central Tien Shan ranges. 

Nikolaev was born in Nizhny Novgorod where his father Arseny Ivanovich was a store clerk married to Ekaterina Petrovna. After schooling in Novgorod, he joined the mining institute at St. Petersburg where he studied under E.S. Fedorov, V.V. Nikitin, K.I. Bogdanovich. He then worked on surveys in Pechory and worked on hydrology from 1914. In 1915 he worked in the northern Tien Shan range and he studied the volcanic strata which resulted in his thesis published ten years later. In 1917 he worked with N.G. Kassin surveying along the Murmansk rail line. He graduated in geology in 1918. In 1920 he became a geologist with the Geological Committee and surveyed in Turkestan along with V. N. Weber and D. I. Mushketov. They produced a geological map at the 1:420000 scale. His work on the Zeravshan River helped in irrigation of the Samarkand oasis. 
 
He examined faults in the Tien Shan region and helped in delineating tectonic zones. This separation has been called the ""Nikolaev line"". He also studied petrological processes and considered theoretical aspects of silicate formation under pressure and involving reactions with water and carbon dioxide.
","{'id': '72236819', 'title': 'Viktor Nikolaev', 'url': 'https://en.wikipedia.org/wiki/Viktor%20Nikolaev'}"
">
お薬事典
>
アステラス製薬株式会社
>
プリンペラン細粒2%

トップ

>
お薬事典
>
個々の器官系用医薬品
>
消化器官用薬
>
その他の消化器官用薬
>
プリンペラン細粒2%

# お薬事典

個々の器官系用医薬品
消化器官用薬
その他の消化器官用薬

## プリンペラン細粒2%

製薬会社
アステラス製薬株式会社

主成分
メトクロプラミド

剤形
細粒剤、白色

シート記載

改定
2008年01月

### プリンペラン細粒2%に関するQ&A

検査･薬
薬の副作用

プリンペランについて。

プリンペランというお薬がありますが
「プリンペラン錠5」と「プリンペラン細粒2%」に
ついてお尋ねします。
「プリンペラン細粒2%」がなくて「プリンペラン錠5
続きを読む

医師回答あり
2012/04/20 15:30:53
医師の回答：6件

検査･薬
検査

薬の飲み方について

プリンペランは食後に服用しても大丈夫ですか?あと、プリンペランとガスターD錠は同時服用しても大丈夫ですか?
(30代/女性)
続きを読む

医師回答あり
2013/12/08 19:02:54
医師の回答：4件

検査･薬
薬の副作用

プリンペラン

プリンペランの副作用で錐体外路症状とはどのようになるんでしょうか?プリンペランを服用して舌が動かせなくなるって事は全く関係ないのでしょうか? 二回もプリンペランを服用した時に同じ症状
続きを読む

医師回答あり
2011/06/12 10:08:08
医師の回答：2件

検査･薬
薬の副作用

風邪と胃腸系がちょっと調子わるい

クラリスとプリンペランを飲んでも大丈夫か
(40代/男性)
続きを読む

医師回答あり
2016/10/04 20:29:13
医師の回答：3件

検査･薬
薬の副作用

胃のムカムカ 吐き気の為の薬について！

モサプリドクエン酸 プリンペランを同時に服用しても大丈夫でしょうか？
(20代/男性)
続きを読む

医師回答あり
2016/04/22 23:41:37
医師の回答：13件

中枢性および末梢性の制吐作用や、消化管の運動調節作用を示します。
通常、消化器疾患に伴う悪心・嘔吐などの消化器症状の治療、X線検査時のバリウム通過促進を目的に用いられます。

主な副作用として、手指振戦（震え）、筋硬直、頸・顔部の攣縮（筋肉の収縮）、眼球回転発作、焦燥感、無月経、乳汁分泌、女性型乳房、発疹、浮腫などが報告されています。このような症状に気づいたら、担当の医師または薬剤師に相談してください。

顔色が青白い、冷汗、立ちくらみ
[ショック、アナフィラキシー様症状]

口の周りが意思とは関係なく動く、舌を無意識に出し入れする、手足をくりかえし曲げ伸ばしする
[遅発性ジスキネジア]

以上の副作用はすべてを記載したものではありません。上記以外でも気になる症状が出た場合は、医師または薬剤師に相談してください。

#### 副作用の似たお薬

プラミペキソール塩酸塩錠0.125mg「JG」
トロペロン錠1mg
ブロムペリドール錠3mg「アメル」
ニュープロ　パッチ4.5mg
ロナセン錠2mg

以前に薬を使用して、かゆみ、発疹などのアレルギー症状が出たことがある。褐色細胞腫（副腎の腫瘍）の疑い、消化管からの出血・穿孔（穴あき）、器質的閉塞（頑固な便秘）がある。

通常、成人は1日0.5〜1.5g（塩酸メトクロプラミドとして10〜30mg）を2〜3回に分け、食前に服用します。年齢、症状により適宜増減されます。必ず指示された服用方法に従ってください。

ベナ錠10mg
クエチアピン錠25mg「明治」
セロクエル25mg錠
ポスカール散
10％アプレゾリン散「チバ」

眠気、めまいが起こることがありますので、車の運転や機械の操作、高所での作業などはさけてください。

遅発性ジスキネジア
アナフィラキシー
ジスキネジア
プリンペラン
こわばり
悪性症候群
意識障害
初期症状
ふるえ
中枢性","{'docId': 'eb06312d-d22b-4aac-a283-c5445a67b65b', 'url': 'https://www.askdoctors.jp/drugs/8947', 'date': '2016-12-09T12:35:46'}"
"Badgingarra Wind Farm is a wind farm in the locality of Hill River northwest of the town of Badgingarra in Western Australia, about  north of Perth. It is owned by APA Group and located immediately north of the older Emu Downs Wind Farm which has the same owner.

Construction of Badgingarra Wind Farm began in November 2017 and it was completed in early 2019. It consists of 37 Siemens wind turbine generators, each generating 3.6 MW of electricity. The turbine hubs are  above the ground, and the rotor tips reach .  APA Group is also constructing the Badgingarra Solar Farm adjacent to the wind farm to provide 17.5 MW of solar photovoltaic generation.

Badgingarra Wind Farm was officially opened by the Western Australian Energy Minister, Bill Johnston on 2 May 2019. It is connected to the Western Power network North Country region. The output is contracted to Alinta Energy until the end of 2035. The wind farm is expected to generate 500–550 GWh of energy per annum.

Operations 
AEMO records begin in January 2019 for the wind farm. The generation table uses AEMO Facility SCADA to obtain generation values for each month.  

Note: Asterisk indicates power output was limited during the month.
","{'id': '66275128', 'title': 'Badgingarra Wind Farm', 'url': 'https://en.wikipedia.org/wiki/Badgingarra%20Wind%20Farm'}"
"Common names: (none).

Macrovipera lebetinus transmediterranea is a viper subspecies endemic to North Africa. Like all other vipers, it is venomous.

Description
This subspecies is not known to exceed  in total length (body + tail). It is further distinguished by having only 25 midbody dorsal scale rows, a lower ventral scale count of 150-164 scales, and more fragmented head scales. The color pattern is light gray with 34-41 dark transverse bars which are each 2-3 scales wide.

Geographic range
It is found only in North Africa, where it is restricted to the coastal mountains of Algeria and Tunis. One of the few specific localities where it is known to occur is Djebel Murdjaro near Oran in western Algeria. This subspecies may be sympatric with M. deserti and/or D. mauritanica.
","{'id': '6371384', 'title': 'Macrovipera lebetinus transmediterranea', 'url': 'https://en.wikipedia.org/wiki/Macrovipera%20lebetinus%20transmediterranea'}"
"ロベール・ニコラ＝シャルル・ボクサ（Robert Nicolas-Charles Bochsa, 1789年8月9日 - 1856年1月6日）は、19世紀フランスの作曲家・ハープ奏者。波瀾万丈の生涯を送り、世界各地を転々とした。

生涯
1789年にモンメディで生まれる。神童ハープ奏者として活躍した後、1813年にナポレオン1世の宮廷楽団のハープ奏者に任命され、オペラの作曲に着手する。しかしながら1817年、通貨偽造や結婚詐欺（または重婚）、文書偽造への連坐により、告訴を免れるためにイングランドに逃亡。欠席裁判によって懲役刑が課された。

フランス法から無事に逃れてロンドンに上陸、1821年に王立音楽アカデミー開設に協力して学長を務めるが、1826年に前歴が発覚したため、辞職せざるを得なくなる。その後はロンドン王立劇場の音楽監督に就任している。

1839年に再びスキャンダルに関与、今度はオペラ作曲家ヘンリー・ビショップの夫人でオペラ歌手アンナ・リヴィエラと駆け落ちして、海外に逃亡したのである。ふたりは（フランス以外の）ヨーロッパやアメリカ合衆国で演奏活動を行い、1855年12月にゴールドラッシュに沸くシドニーに上陸した。しかし、オーストラリアでは1回しか演奏旅行を行うことができなかった。シドニーでボクサが急死したからである。アンナ・ビショップはシドニーのキャンパーダウン墓地に、彫刻をあしらったボクサの墓碑銘を贈っている。
","{'id': '455191', 'title': 'ニコラ＝シャルル・ボクサ', 'url': 'https://ja.wikipedia.org/wiki/%E3%83%8B%E3%82%B3%E3%83%A9%EF%BC%9D%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%AB%E3%83%BB%E3%83%9C%E3%82%AF%E3%82%B5'}"
"John Henry McMahon  (October 15, 1869 – December 30, 1894) was a Major League Baseball first baseman and catcher. He played in 51 games, with a .243 batting average, for the New York Giants of the National League in 1892 and 1893.
","{'id': '29924587', 'title': 'Jack McMahon (baseball)', 'url': 'https://en.wikipedia.org/wiki/Jack%20McMahon%20%28baseball%29'}"
"Ivan Tomičić (born 1 March 1993 in Split) is a Croatian retired football midfielder who was most recently manager of RNK Split.

Club career
Ivan Tomičić joined Hajduk Split's youth academy in 2007 from the lower tier side Kamen Ivanbegovina. A youth international, he joined the Hajduk senior team in 2012, and was sent to the club's feeder team NK Primorac 1929 in the summer of 2012. In the summer of 2013 Ivan went on loan in HNK Segesta, returning to Hajduk for the second part of the season. Tomičić spent the 2014/15 season on loans in Italy, at Serie C sides Mantova F.C. and Ischia before returning to Croatia. Following another period at Hajduk's reserve team, Tomičić was released from his contract and joined second-tier NK Imotski. After a year at the club, Tomičić returned to the top tier of Croatian football, signing for RNK Split. Following the club's relegation, Tomičić joined Inter Zaprešić, but left the club at the winter break. Following some trials abroad, Tomičić another Prva HNL team, NK Rudeš, in the summer of 2018, on a year-long contract.

Managerial career
Tomičić replaced Ivan Radeljić as manager of RNK Split in March 2022, only to be relieved of his duties himself in September that same year.
","{'id': '40103903', 'title': 'Ivan Tomičić', 'url': 'https://en.wikipedia.org/wiki/Ivan%20Tomi%C4%8Di%C4%87'}"
"Cereceda de la Sierra is a municipality in the province of Salamanca, western Spain, part of the autonomous community of Castile-Leon. It is located  from the city of Salamanca and as of 2016 had a population of 75 people.

The vast majority of the population emigrated to other parts of Spain in the sixties and seventies but used to come back to his native land on summer holidays, most of them have a house in the village.

There is only one bar that agglutinates the shop and pub functions.

The romanic church, Ntra Sra del Rosario, and the Roman bridge called Puente Cantería, are the most important examples of the local architecture as well as the typical houses most of them rebuilt by the emigrants in the last twenty years.
There is a school building with a wall court behind to play typical Spanish sport as pelota with a racket or one hand and also to play traditional sport known as calva.
But the most popular game in this village is the tute, a popular card game which is played at the pubs all along the year and the losers occasionally have to paid the drinks that the winners consume as they are playing.

The local amateur football club is formed with the sons and grandsons of the local inhabitants that are proud of their parents and grandparents' land. It used to play a married-single match every year as part of the local summer celebrations.
 
The Sierra de Francia is the comarca that includes not only Cereceda but many small towns as El Cabaco, La Nava de Francia, Tamames and La Alberca that are typical places to visit on summer and very similar because all of them receive the emigrants that come back home to spend the summer holidays.
","{'id': '6961221', 'title': 'Cereceda de la Sierra', 'url': 'https://en.wikipedia.org/wiki/Cereceda%20de%20la%20Sierra'}"
"Cyprus–Israel relations refer to the bilateral relations between Cyprus and Israel. Israel has an embassy in Nicosia, while Cyprus has an embassy in Tel Aviv. Both countries are members of the Union for the Mediterranean, United Nations, Euro-Atlantic Partnership Council, Organisation for Economic Co-operation and Development, International Monetary Fund, World Bank, and World Trade Organization.

Cyprus and Israel have extensive collaboration on military, cultural, and political matters. The prospect of a joint use of oil and gas fields off Cyprus, as well as EuroAsia Interconnector, now the world's longest subsea electric power cable have also brought the two countries closer together.

History

During and immediately after World War II, Cyprus became a transit point for Jewish Holocaust survivors trying to reach Mandate Palestine. Cyprus was then a British Crown Colony. From 1946 to 1949, an estimated 53,000 Jews were detained by the British in camps on Cyprus.

Today, relations between Cyprus and Israel are strong. Many Cypriots and Israelis refer to them as Cypriot-Israeli brotherhood. In September 2013, the leader of Democratic Rally Averof Neofytou called for supporting Israel as Cyprus's most reliable partner. Israeli President Shimon Peres called Cyprus Israel's most predictable neighbour.

Bilateral relations 
In the 1980s and 1990s, Cyprus expressed concern over Israel's then close defense relationship with Turkey. Cyprus outwardly backed the Palestinians in the Arab–Israeli conflict and officially recognizes Palestine as a de facto state. Cypriot first lady Androulla Vassiliou, wife of President George Vasiliou, was declared persona non grata in Israel when a delegation she was leading attempted to meet with Yasser Arafat, who was then under house arrest.

Relations began to improve in 1993. A number of bilateral agreements were signed and many official visits have taken place including the official State visit by the President of Israel and a reciprocate visit by the President of Cyprus.

In the early 2000s, members of the Cypriot branch of the Greek Orthodox Church were accused of selling church-owned land in the West Bank to Israeli developers.

In 2010, an exclusive economic zone (EEZ) was set within the territorial waters between Israel and Cyprus at the maritime halfway point, a clarification essential for safeguarding Israel's rights to oil and underwater gas reservoirs. The agreement was signed in Nicosia by Israeli Infrastructure Minister Uzi Landau and the Cypriot Foreign Minister Markos Kyprianou. The two countries agreed to cooperate in the development of any cross border resources discovered, and to negotiate an agreement on dividing joint resources.

In February 2012, Netanyahu visited Cyprus, the first visit of an Israeli Prime Minister in history, and the two countries signed a search and rescue agreement. Israeli foreign minister Avigdor Lieberman visited Cyprus at the invitation of his Cypriot counterpart when Netanyahu was in Washington, and Lieberman has met with Cyprus foreign minister Kyprianou several times.

Energy and natural gas

Israeli energy firm Delek Group is seeking to work with Cyprus on natural gas exploration and extraction near the Leviathan gas field off the Israeli coast where Delek is already active. The large oil and gas field, and the opportunities of joint use, have brought the two countries closer together. This however has opened a new source of frictions between both countries and Turkey. Noble Energy, a US company, is also involved in the Leviathan field and this may lead to US government involvement in the gas fields dispute.

Turkey claimed that the Greek-Cypriot government in the southern part of the island did not have the authority to sign deals with Israel which could be detrimental to the Turkish-Cypriot population in Northern Cyprus. The discovery of oil fields in the Mediterranean allowed Turkey Prime Minister Recep Tayyip Erdoğan to continue his diplomatic confrontation on two fronts: one with Israel, and one with Cyprus.

Cyprus President Dimitris Christofias visited Israel in March 2011 for the first-ever official visit by a Cypriot head of state.
Minister of Commerce, Industry and Tourism Antonis Paschalides noted however that, despite all the enthusiasm, Cyprus could not ignore Israeli tourism and real estate projects in the island's north, which was under disputed Turkish control.

According to Turkish media reports in September 2011, Israel Air Force fighter planes flew through the airspace of both Cyprus and Northern Cyprus after taking off to face a Turkish seismic research ship in the Eastern Mediterranean. The reports added that Turkey responded by launching two fighters to track the Israeli planes, at which point the Israeli fighter jets returned to Israeli airspace. The Turkish research vessel was seen as a Turkish provocation in the dispute over gas fields. The operation of Israeli planes in Cyprus airspace was interpreted as a further sign of close Israel-Cyprus ties.

ΔΕΗ-Quantum Energy, a Cyprus-based group including Greece's state-controlled power utility Public Power Corporation of Greece (PPC, also known as DEH) is planning to lay the world's longest submarine power cable, linking Israel, Cyprus and Greece. The link, called the EuroAsia Interconnector project, would be the longest in the world. The cable is supposed to pass from Israel via Cyprus and Crete, and from there to mainland Europe notably Italy and Switzerland and from Bulgaria to Serbia.

During his visit in Israel in April 2013 Foreign Minister of  Cyprus has expressed his enthusiasm that as Cyprus has financial and economic problems, the energy cooperation agreement between Cyprus and Israel is a bright spot in that will boost hopes for a quick recovery by 2014.

In March 2021, Cyprus said that it had reached an agreement with Israel concerning the gas reserves in their maritime border. The Israeli side said that the two countries have set a framework that might solve the issue.

In May 2023, Cyprus and Israel were working on a deal to create a natural gas pipeline between the two countries, whereas Israeli natural gas would be liquified and exported to Europe. The American energy company Chevron is reportedly interested in the potential pipeline, which would be 320-kilometer (200-mile) in length and estimated to cost 450 million euros ($489 million), while the liquefaction plant would cost 1 billion euros ($1.1 billion). The pipeline would take about two and a half years to build.

Cypriot mediation between Israel and Lebanon 
Since the establishment of the exclusive economic zone (EEZ) of Cyprus, Israel and Lebanon, Cyprus has been offering  mediation between Lebanon and Israel over their maritime border dispute which was delaying gas and oil exploration of the two countries. General Director of the Department of Energy in Cyprus Solonas Kasinis announced in 2010 from Limassol that Cyprus does anything possible to strengthen cooperation between the three countries not only on the issue of the division of gas and oil reserves but also on military and strategic matters. In an effort to further settle the unstable situation between Israel and Lebanon, Chair President of Cypriot Parliament Yiannakis Omirou visited Lebanese President Michel Suleiman in Beirut to find solution to the disputes.

Tripartite energy memorandum
On August 8, 2013, Greece, Israel and Cyprus signed the tripartite energy memorandum of understanding after the completion of one year negotiation in Nicosia. Negotiations were held between the Energy and Water Resources Minister of Israel Silvan Shalom, the Cypriot minister of agriculture, natural resources and environment Nicos Kouyialis and the Cypriot minister of environment, energy and climate change George Lakkotrypis. The  2,000-mega-watt EuroAsia Interconnector is planned to lift Cyprus and Israel out of energy isolation through cheaper electricity as supported by George Lakkotrypis.
Silvan Shalom announced that the agreement is ""historic"" and that it demonstrated the powerful relations between the three countries adding that electricity will be exported to the European energy market via cable. The Greek Prime Minister at the time Antonis Samaras proclaimed on 8 August that Israel has a special role to play in supplying Europe with energy resources and supported that it can become a key energy hub.

Civil marriage 
Israeli matrimonial law is still based on the Millet system employed in the Ottoman Empire, which was not modified during the British Mandate and remains in force. Marriages in each religious community are under the jurisdiction of its own religious authority. Israeli couples who for any reason are unable or unwilling to contract a religious marriage often opt to get married in neighboring Cyprus, given that civil, interfaith and same-sex marriages entered into abroad are recognised by the Israeli state. Republic of Cyprus is ranked as the first or second destination for Israeli civil wedding, alongside Prague.

State visits to Cyprus
Israel and Cyprus agreed on the middle of February 2011 to launch a joint natural gas and oil exploration venture in their adjoining territorial waters. Prime Minister Benjamin Netanyahu and Cypriot President Demetris Christofias inked the deal during Netanyahu's visit to Nicosia, which was the first by an Israeli leader ever.
The deal will also allow Israel to use Cyprus' air space and territorial waters for aerial and naval search and rescue drills.
The Prime Minister's Office said that the deal was part of the two nations' efforts to ""strengthen the improving ties between the two nations, as well as boost energy security in both countries.""
Netanyahu traveled to Cyprus with a mission of 20 high-level government officials, including Energy and Water Minister Uzi Landau and the directors of Israel's National Security and National Economic councils.

In April 2012 Foreign Minister made a three-day visit to Nicosia to discuss the gas-sharing agreement to exploit reserves that fall on the maritime boundary between the two countries. Lieberman later discussed the prospects of further expansion of cooperation between the two countries in the fields of energy, tourism and investment with Commerce and Industry Minister Neoclis Sylikiotis. Lieberman said relations between the two countries are probably at their best stage since the establishment of Cyprus and Israel.

On 2 September 2013 President of the Cypriot House of Representatives Yiannakis Omirou and the Knesset Speaker Yuli-Yoel Edelstein signed a protocol of cooperation between their countries' Parliaments. After the signing of the protocol Yiannakis Omirou expressed his enthusiasm for the setting up of a Cyprus-Israeli Friendship Group in the respective parliaments. Edelstein announced that the signing of the memorandum is a testament to the joint efforts and close cooperation between the two countries and will increase connection in the years to come. On 2 September 2013 the president of Democratic Rally, Averof Neophytou in a press conference in Nicosia characterised Israel as Cyprus' most reliable ally.

Economic relations

The Cypriot media report that the country could receive natural gas from Israel in early 2015, at reduced prices, if discussions on the supply of small quantities are completed by the end of the year, as the Minister of Commerce, Industry and Tourism Neoklis Sylikiotis has announced in a press conference about a visit to Israel by a high-ranking Cypriot delegation. The Cypriot government is seeking an interim energy solution until its own natural gas reserves can be developed. Minister Sylikiotis said that Israel is positive in supplying Cyprus a small quantity of natural gas, 0.5-0.7 billion cubic meters, for electricity production. He added that Cyprus would import Israeli gas in the form of liquefied natural gas (LNG) through contracts between Electricity Authority of Cyprus and Israel Electric Corporation (IEC).

Export proposals also include building a pipeline from Israel, Cyprus and finally to Greece or combining the gas from discoveries off Cyprus and Israel at a joint LNG plant as soon as 2018 that will be built in the southern city of Larnaca. Another option suggested by Noble was to build a plant in Jordan to ship the fuel to Asia through the Red Sea.

Cyprus-Israel Business Association
With the cooperation of both Cypriot and Israeli government in 2008 Cyprus-Israel Business Association was formed and is held annually in Nicosia, Cyprus. It headquarters in  Cyprus Chamber of Commerce and Industry building and contacts Ministry of Finance of both Israel and Cyprus to coordinate an increase in financial bonds of the two countries. In the annual forum of Cyprus-Israel Business Association speakers from key positions from both countries take part. In September 2011 Chief Executive Officer of the Tel Aviv Stock Exchange Ester Levanon visited Cyprus to present “The Tel Aviv Stock Exchange as a reflection of the Israeli Economy”. Other prominent speakers include Ex-Ministers of Commerce and Trade Praxoulla Antoniadou Kyriacou and Antonis Paschalides, the President and the Secretary-General of the Cyprus Chamber of Commerce and Industry Manthos Mavrommatis, the President and the General Manager of the Cyprus Stock Exchange George Koufaris, the Ambassador of Israel Michael Harari and the Ambassador of Belgium Christakis Papavassiliou.

In 2013 Cyprus-Israel Business Association conferences took place in Jerusalem and even though the participants of 100 Israeli companies and the 30 Cypriot firms discuss how to increase cooperation in fields ranging “from milk to gas,” the main emphasis was on the Mediterranean natural resource that each of the countries has the potential to export. In May 2013 the President of the Israel-Cyprus Business Association Christakis Papavasilious announced “the new historic era” that Cyprus and Israel are entering together in regards to the economic aspect, and that both countries should rely on each other in order to push forward.

Electricity connection 

Electricity connection between Hadera of Israel and Vasilikos in Cyprus is one of the projects that will be funded by the European Union in the framework of the programme Connecting Europe Facility (CEF). According to a press release issued by the European Commission the amount earmarked for the Hadera Israel-Vasilikos Cyprus connection is approximately €1.325m. The project is based on an undersea cable for the connection of the electricity systems of Israel, Cyprus and Greece. Its capacity will be 2000 MW and its length approximately 1518 km. It will include three connections: 329 km between Israel and Cyprus, 879 km between Cyprus and Crete and 310 km between Crete and mainland Greece and will allow electricity transmission to both directions.

Military collaboration 
In October 2011 Phileleftheros newspaper published a document detailing a military exercise between Israel and Cyprus, which included mid-air refuelling of fighter jets and quick touchdown landings by Israel Air Force combat helicopters in Cyprus.
In 2013 Israel is expecting to receive approval from the Cypriot government to station military jets at the Andreas Papandreou airbase in the city of Paphos, creating the first Israeli military station outside the Israel. It is unknown if the plans include a permanent military presence on the island, with a full-time deployment of airmen.
In April 2013 it was reported that Israel was set to send warships to the eastern Mediterranean for a joint military exercise with the Republic of Cyprus. Cypriot Defense Minister Fotis Fotiou confirmed that the joint exercise, which will include the participation of four or five Israeli warships, would start on 25 April. Fotiou also noted that Cyprus will focus on the security of the eastern Mediterranean region and that of gas companies. On 9 April the Minister of Defence, Fotis Fotiou, met at his office with the Ambassador of Israel Michael Harari. In an official statement after the meeting Michael Harari expressed his view that Israel and Cyprus are determined to strengthen and deepen their relations in all areas in favor of their peoples and the region in general.
In early May 2013 Israel Defence Minister Moshe Ya'alon and Cypriot Defence Minister Fotis Fitiou met in Tel Aviv to set the foundations for a coordinated cooperation in energy security issues. On his return to Cyprus, the Cyprus Defense Minister announced that during his meeting in Tel Aviv, they also decided to set up technical committees to promote the issues examined.
Moshe Ya'alon referred to the strategic relationship between the two countries and their benefit from the natural-gas field that lies between their shores. He added that Israel intends to improve the preparedness of its navy in the Mediterranean to protect the gas facilities of Israel and Cyprus.""

On 11 February 2014 between 11am and 1am Israel and Cyprus held a joint military exercise codenamed ‘Onisilos-Gideon’ in Cypriot FIR and the scheduled drill occurred inside the Nicosia flight information region (FIR). Israeli fighter jets carried out flybys over areas south of Limassol featuring 32 F15 and F16 jets and six more support aircraft of the Israeli Air Force, the exercise included simulated firing at targets on land and sea along the southern coast from Limassol to Paphos.

""Onisilos-Gideon"" October 2014
On 21 October 2014 Israel and Cyprus held joint military exercise that included aerial maneuvers by Israeli Air Force fighter jets in Cypriot airspace in collaboration with the Cypriot National Guard. Another part of the military drill took place in Cypriot territorial waters off the island of Crete.

Memorandum of Understanding
On 21 December 2011 Israeli minister of public security, Avi Dichter, with the Cypriot Minister of Interior Eleni Mavrou, signed a Memorandum of Understanding (MoU) ensuring the mutual protection and assistance between the two countries in the field of disaster management and civil protection. The MoU provides for collaboration and sharing practices on how to prepare the population for disasters and crises.

Environmental cooperation
A new desalination plant operates in Limassol, launched by the National Water Company Mekorot. The desalination plant has the capacity to produce up to  of desalinated potable water daily. At the inauguration of the plant in August 2013, there were present both President of Cyprus Nicos Anastasiades and Israeli Minister of Energy and Water Resources Silvan Shalom.
Cypriot Minister of Agriculture Nicos Kouyalis and Israel Minister of Energy and Water Resources Silvan Shalom met between 24 and 27 August 2013, during which they discussed issues pertaining to water development, management and protection based on the larger framework of the Memorandum of Understanding. There was high level of discussion at a technocratic level which is targeting at the further reinforcement of the cooperation and the exchange of experiences and knowledge, particularly relating to urban waste water treatment and the use of recycled water in agriculture.

Cyprus fires in June 2016
Cyprus on 18 June asked help from Israel after a fire was raging out of control in Argaka and other forest areas close to Evrychou which had approximately burned seventeen square kilometres of wild vegetation, hay and pine forest and could not be brought under control due to strong winds. Israel immediately sent three airtankers on 19 June, and an additional plane carrying 36 cubic meters of firefighting foam flew to the island on 20 June, per the Cypriot government request. Greece, Britain, Italy and France also sent helicopters and planes to aid in the firefighting efforts.

On 20 June Israeli Prime Minister Benjamin Netanyahu before the weekly Cabinet meeting announced he was pleased his country was able to extend assistance to Cyprus in order to put out the fire that broke out near Argaka and recalled that in 2010, during the massive Mount Carmel forest fire, the first person to contact for assistance was the president of Cyprus Demetris Christofias. Cyprus dispatched its only helicopter and plane to assist in the fire-fighting effort.

On 28 June Cyprus President Nicos Anastasiades thanked from his bottom of his heart the prime minister of Israel Benjamin Netanyahu in their telephone conversation.

Educational collaboration
In June 2016 Cyprus and Israel signed a programme of cooperation in the sectors of culture, education and science, for a period of three years (2016-2019), during an official visit of the Cypriot Minister of Education and Culture Costas Kadis to Israel. Cyprus Minister Costas Kadis visited Israel between 22 and 23 of June, at the invitation of his Israeli counterpart Naftali Bennett. During their meeting both Ministers emphasised the importance of strengthening the cooperation of the two countries in the field of education and especially in higher education. Naftali Benntett accepted the invitation of the Cypriot Minister to visit Cyprus with representatives of Universities and Research Centres of Israel to continue the dialogue and to identify areas of common interest for cooperation in higher education.

Cultural collaboration

With the initiative of Cyprus Ministry of Education a number of exchange programmes have been funded between Israeli and Cypriot students from years 12 to 18. The Israeli Yacht club and Famagusta District Sailing Club organised between 1–4 October 2012 the first ""Cyprus-Israel Regatta"" during which participants sailed from Larnaca to Tel Aviv. In August 2012 both countries signed a treaty to cooperate in forming a bank that will host the important amount of data which results from the numerous excavations that are conducted in both Israel and Cyprus. On 18 May 2013 Cypriot public was offered the opportunity to experience Israeli culture at the New Theatre Building of THOC in Nicosia through an exclusive series of cultural events and artistic happenings. Those who attended experienced some of Israel's best works of art, including theatre, children's puppet show, films and a photograph exhibition.

Diplomacy

Republic of Cyprus
Tel Aviv (Embassy) 

Republic of Israel
Nicosia (Embassy)

High level visits
","{'id': '32126043', 'title': 'Cyprus–Israel relations', 'url': 'https://en.wikipedia.org/wiki/Cyprus%E2%80%93Israel%20relations'}"
