2025-03-11 19:50:16,312 INFO    MainThread:232296 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-11 19:50:16,313 INFO    MainThread:232296 [wandb_setup.py:_flush():67] Configure stats pid to 232296
2025-03-11 19:50:16,313 INFO    MainThread:232296 [wandb_setup.py:_flush():67] Loading settings from /home/shimomura/.config/wandb/settings
2025-03-11 19:50:16,313 INFO    MainThread:232296 [wandb_setup.py:_flush():67] Loading settings from /mnt/shimo/KiTitans/Pretrain/wandb/settings
2025-03-11 19:50:16,313 INFO    MainThread:232296 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-11 19:50:16,315 INFO    MainThread:232296 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /mnt/shimo/KiTitans/Pretrain/wandb/run-20250311_195016-6jjb7b5g/logs/debug.log
2025-03-11 19:50:16,315 INFO    MainThread:232296 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /mnt/shimo/KiTitans/Pretrain/wandb/run-20250311_195016-6jjb7b5g/logs/debug-internal.log
2025-03-11 19:50:16,315 INFO    MainThread:232296 [wandb_init.py:init():761] calling init triggers
2025-03-11 19:50:16,315 INFO    MainThread:232296 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-11 19:50:16,316 INFO    MainThread:232296 [wandb_init.py:init():784] starting backend
2025-03-11 19:50:16,316 INFO    MainThread:232296 [wandb_init.py:init():788] sending inform_init request
2025-03-11 19:50:16,323 INFO    MainThread:232296 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-11 19:50:16,323 INFO    MainThread:232296 [wandb_init.py:init():798] backend started and connected
2025-03-11 19:50:16,324 INFO    MainThread:232296 [wandb_init.py:init():891] updated telemetry
2025-03-11 19:50:16,340 INFO    MainThread:232296 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-11 19:50:16,903 INFO    MainThread:232296 [wandb_init.py:init():990] starting run threads in backend
2025-03-11 19:50:17,001 INFO    MainThread:232296 [wandb_run.py:_console_start():2375] atexit reg
2025-03-11 19:50:17,001 INFO    MainThread:232296 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-11 19:50:17,001 INFO    MainThread:232296 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-11 19:50:17,001 INFO    MainThread:232296 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-11 19:50:17,003 INFO    MainThread:232296 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-11 19:50:35,258 INFO    MsgRouterThr:232296 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
